EntryID,LemmaID,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreqZ(native),SignFrequency(N-Native),PercentUnknown(Native),GlossConfirmation,PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),SubtLexUSLog10WF,LexicalClass,Compound,Initialized,FingerspelledLoanSign,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),SignType,MajorLocation,MinorLocation,SelectedFingers,Flexion,Movement,MinimalNeighborhoodDensity,MaximalNeighborhoodDensity,Parameter-BasedNeighborhoodDensity,SignTypeFrequency,MajorLocationFrequency,MinorLocationFrequency,SelectedFingersFrequency,FlexionFrequency,MovementFrequency,HandshapeFrequency,,Batch,Item,List,Repeat.1
camping,camping,4.355,1.704,0.186014854,31,0.00%,4.111,1.53,0.095536876,18,0.00%,0,,,2.667,2.048,-0.207,39,2.5,Noun,0,0,0,400.4,1034.37,633.97,1334.67,SymmetricalOrAlternating,Neutral,Neutral,ip,1,BackAndForth,833,46,1,332,349,345,7,487,354,7,,A,45,1,0
can,can,6,1.166,1.066683889,26,0.00%,6.25,1,1.131786052,16,0.00%,0,,,1.68,2.009,-0.622,25,5.428,Verb,0,0,0,567.23,1434.77,867.53,2469.14,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Straight,725,48,7,332,349,345,455,82,177,72,,D,27,3,0
canada,canada,3.6,1.694,-0.465628863,30,0.00%,4.111,1.641,-0.291494386,18,0.00%,0,,,1.056,2.075,-0.912,36,2.74,Name,0,0,0,533.87,1267.94,734.07,2235.57,OneHanded,Body,Clavicle,imrp,7,BackAndForth,824,18,6,388,100,41,455,82,354,72,,C,34,3,0
cancellation,cancellation,3.933,1.413,-0.184546558,30,0.00%,3.944,1.474,-0.292586051,18,0.00%,0,,,4.778,2.025,0.976,27,1.82,Noun,0,0,0,433.77,1101.1,667.33,2002,AsymmetricalDifferentHandshape,Hand,Palm,i,1,Other,713,21,1,178,216,91,265,487,46,134,,C,17,2,0
candle,candle,3.733,1.617,-0.397622454,30,0.00%,3.944,1.862,-0.348756201,18,0.00%,0,,,3.639,2.075,0.325,36,2.613,Noun,0,0,0,633.97,1101.1,467.13,2102.1,AsymmetricalDifferentHandshape,Hand,FingerTip,imrp,1,None,843,29,5,178,216,15,455,487,180,192,,C,60,3,0
candy_1,candy_1,4.419,1.587,0.260997694,31,0.00%,4.167,1.757,0.132933585,18,0.00%,1,96.77%,94.44%,1.897,2.048,-0.587,39,3.262,Noun,0,0,0,400.4,1234.57,834.17,1668.34,OneHanded,Head,CheekNose,i,1,None,801,86,22,388,300,63,265,487,180,134,,A,18,1,0
candy_2,candy_2,4.654,1.719,0.218434649,26,0.00%,4.5,1.673,0.128768169,16,0.00%,1,42.31%,37.50%,1.233,2.166,-0.775,30,3.262,Noun,0,1,0,600.6,1201.2,600.6,1735.07,OneHanded,Head,Chin,im,1,None,774,51,9,388,300,63,129,487,180,66,,D,79,2,0
canoe,canoe,2.222,1.34,-1.065162619,27,0.00%,2.063,1.063,-1.151273699,16,0.00%,1,40.74%,37.50%,5.806,2.025,1.433,36,2.262,Noun,0,0,0,533.87,1668.34,1134.47,2569.24,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Other,679,32,1,332,349,345,455,82,46,72,,D,45,1,0
caption,caption,5.2,1.627,0.50823691,30,0.00%,5.611,1.42,0.644981543,18,0.00%,0,,,2.63,2.025,-0.102,27,1.28,Noun,0,0,0,600.6,1167.84,567.23,2235.57,SymmetricalOrAlternating,Neutral,Neutral,i,6,BackAndForth,768,28,7,332,349,345,265,74,354,42,,C,86,2,0
car,car,6.556,0.892,1.360512824,27,0.00%,6.588,0.795,1.321683752,17,0.00%,0,,,6.2,2.166,1.495,30,4.392,Noun,0,0,0,533.87,1601.6,1067.73,2569.24,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,BackAndForth,772,80,12,332,349,345,455,82,354,72,,D,43,2,0
careful,careful,5.32,1.406,0.421058267,25,0.00%,5.214,1.626,0.332180068,14,0.00%,0,,,1.467,1.948,-0.67,30,3.744,Adjective,0,0,0,333.67,800.8,467.13,1735.07,SymmetricalOrAlternating,Neutral,FingerRadial,im,Stacked,BackAndForth,702,13,0,332,349,33,129,13,354,13,,B,39,3,0
carrot,carrot,3.296,1.489,-0.291469315,27,0.00%,3.231,1.691,-0.292016648,13,0.00%,0,,,3.533,2.074,0.205,30,2.292,Noun,0,0,0,367.03,1267.94,900.9,1501.5,OneHanded,Head,Mouth,imrp,7,None,777,27,1,388,300,40,455,82,180,72,,A,83,2,0
castle,castle,1.579,0.838,-1.332802568,19,9.52%,1.455,0.688,-1.400430368,11,8.33%,1,100.00%,100.00%,3.744,2.048,0.28,39,3.041,Noun,0,0,0,266.93,1067.73,800.8,2168.84,SymmetricalOrAlternating,Neutral,Neutral,im,5,Straight,662,9,0,332,349,345,129,108,177,5,,A,8,1,1
cat,cat,5.097,1.868,0.597272065,31,0.00%,4.944,1.662,0.54020906,18,0.00%,0,,,4.618,2.048,0.678,34,3.529,Noun,0,0,0,400.4,867.53,467.13,1167.84,OneHanded,Head,CheekNose,i,6,BackAndForth,760,35,2,388,300,45,265,74,354,42,,A,23,1,0
catholic,catholic,2.92,1.441,-1.07060492,25,0.00%,2.786,1.188,-1.169490424,14,0.00%,0,,,5.1,1.948,1.145,30,2.804,Adjective,0,0,0,567.23,1134.47,567.23,1868.54,OneHanded,Head,Forehead,im,1,Other,759,25,0,388,300,26,129,487,46,66,,B,52,3,0
cause,cause,3.778,1.219,-0.217733603,27,0.00%,3.875,1.147,-0.173866457,16,0.00%,0,,,2.028,2.025,-0.472,36,4.199,Verb,0,0,0,767.43,1568.24,800.8,2535.87,SymmetricalOrAlternating,Neutral,Neutral,imrp,7,Straight,725,48,7,332,349,345,455,82,177,72,,D,88,1,0
center,center,3.433,1.305,-0.547622687,30,0.00%,3.5,1.249,-0.576066761,18,0.00%,0,,,3.333,1.921,0.218,30,3.369,Noun,0,0,0,567.23,1134.47,567.23,2235.57,AsymmetricalSameHandshape,Hand,Palm,imrp,1,BackAndForth,883,49,18,78,216,91,455,487,354,192,,C,27,1,0
cereal,cereal,4.741,1.655,0.471960553,27,0.00%,4.692,1.843,0.444016175,13,0.00%,0,,,1.467,2.074,-0.725,30,2.512,Noun,0,0,0,266.93,1101.1,834.17,1167.84,OneHanded,Head,Chin,i,1,Straight,816,67,12,388,300,63,265,487,177,134,,A,14,2,0
certificate,certificate,4.583,1.613,-0.067574981,24,0.00%,4.462,1.561,-0.132300604,13,0.00%,0,,,1.846,2.016,-0.49,26,2.662,Noun,0,1,0,567.23,867.53,300.3,1568.24,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,BackAndForth,779,85,8,332,349,345,455,108,354,89,,B,80,1,0
chair,chair,5.714,1.231,0.794006639,21,0.00%,5.667,1.303,0.789750821,12,0.00%,0,,,2.077,2.048,-0.502,39,3.4,Noun,0,0,0,200.2,834.17,633.97,1001,AsymmetricalSameHandshape,Hand,FingerBack,im,1,BackAndForth,784,27,11,78,216,21,129,487,354,66,,A,17,1,1
challenge,challenge,4.48,1.388,-0.078416621,25,0.00%,4.5,0.76,-0.094729601,14,0.00%,0,,,3.276,1.948,0.219,29,3.006,Noun,0,0,0,433.77,900.9,467.13,1568.24,SymmetricalOrAlternating,Neutral,Neutral,thumb,1,Straight,773,30,0,332,349,345,54,487,177,44,,B,51,3,0
chance,chance,4.208,1.933,0.097889911,24,4.00%,4.286,1.939,0.180794851,14,6.67%,0,,,1.381,2.153,-1.004,21,4.09,Noun,0,1,0,300.3,1101.1,800.8,1267.94,SymmetricalOrAlternating,Neutral,Neutral,imrp,5,Curved,704,47,4,332,349,345,455,108,125,89,,A,80,3,0
channel,channel,2.933,1.639,-0.857375752,30,0.00%,2.611,1.539,-1.081337151,18,0.00%,1,50.00%,50.00%,3.484,1.821,0.051,31,3.096,Noun,0,0,0,433.77,934.27,500.5,1768.44,OneHanded,Neutral,Neutral,imrp,5,None,839,25,6,388,349,345,455,108,180,89,,C,23,3,0
character,character,3.625,1.813,-0.613332692,24,4.00%,3.538,1.664,-0.629096558,13,7.14%,0,,,1.5,2.045,-0.605,30,3.289,Noun,0,1,0,333.67,1001,667.33,1634.97,OneHanded,Body,Clavicle,imrp,5,Circular,768,7,0,388,100,41,455,108,111,89,,B,88,2,0
chat,chat,5.5,1.408,0.656177827,30,0.00%,5.722,1.447,0.668968307,18,0.00%,0,,,1.867,1.921,-0.512,30,2.92,Verb,0,0,0,567.23,1134.47,567.23,2035.37,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,BackAndForth,908,118,32,332,349,345,455,487,354,192,,C,79,1,0
cheat_1,cheat_1,4.037,1.629,0.102668979,27,0.00%,4.077,1.706,0.126143883,13,0.00%,0,,,1.533,2.074,-0.739,30,2.955,Verb,0,0,0,433.77,1134.47,700.7,1601.6,AsymmetricalDifferentHandshape,Hand,FingerUlnar,im,1,BackAndForth,781,40,11,178,216,3,129,487,354,66,,A,8,2,0
cheat_2,cheat_2,2.56,1.502,-0.942804848,25,7.41%,2.375,1.544,-0.996308442,16,0.00%,1,100.00%,100.00%,1.333,2.025,-0.794,36,2.955,Verb,0,0,0,600.6,1468.14,867.53,2702.7,AsymmetricalDifferentHandshape,Arm,ForearmUlnar,ip,1,BackAndForth,737,3,0,178,27,12,7,487,354,7,,D,27,1,0
check,check,5,1.216,0.262252439,24,0.00%,5,1.359,0.203892479,14,0.00%,0,,,6,1.948,1.675,30,4.153,Verb,0,0,0,367.03,667.33,300.3,1401.4,AsymmetricalDifferentHandshape,Hand,FingerFront,i,1,Other,713,21,1,178,216,12,265,487,46,134,,B,40,3,0
cheese,cheese,5.63,1.245,0.963225429,27,0.00%,5.462,1.391,0.847433028,13,0.00%,0,,,1.7,2.074,-0.66,30,3.299,Noun,0,0,0,333.67,1067.73,734.07,1167.84,AsymmetricalSameHandshape,Hand,Heel,imrp,1,None,839,31,5,78,216,5,455,487,180,192,,A,21,2,0
cherry,cherry,3.69,1.606,-0.427676757,29,3.33%,3.882,1.616,-0.455360657,17,5.56%,0,,,2.2,1.921,-0.328,30,2.841,Noun,0,0,0,633.97,1334.67,700.7,2102.1,AsymmetricalDifferentHandshape,Hand,FingerTip,imrp,6,None,718,7,0,178,216,15,455,74,180,20,,C,83,1,0
chicago,chicago,3.259,1.953,-0.497228327,27,0.00%,3.438,2.032,-0.410342217,16,0.00%,0,,,1.118,2.025,-0.882,34,3.323,Name,0,1,0,667.33,1201.2,533.87,2369.04,OneHanded,Neutral,Neutral,imrp,5,Other,812,7,2,388,349,345,455,108,180,89,,D,43,1,0
children,children,5.467,1.252,0.651748579,30,0.00%,5.611,1.335,0.633238022,18,0.00%,0,,,2.037,2.025,-0.354,27,3.951,Noun,0,0,0,433.77,967.63,533.87,2002,SymmetricalOrAlternating,Neutral,Neutral,imrp,1,BackAndForth,908,118,32,332,349,345,455,487,354,192,,C,66,2,0
china,china,3.038,1.371,-0.642334937,26,0.00%,3.125,1.204,-0.601008729,16,0.00%,0,,,1.083,2.009,-0.951,24,3.103,Name,0,0,0,600.6,1201.2,600.6,2168.84,OneHanded,Body,Clavicle,i,1,None,803,21,0,388,100,41,265,487,180,134,,D,61,3,0
chocolate,chocolate,5.56,1.557,0.537341839,25,0.00%,5.714,1.437,0.604036154,14,0.00%,1,100.00%,100.00%,1.487,2.048,-0.798,39,3.176,Noun,0,1,0,400.4,1301.3,900.9,1468.14,AsymmetricalDifferentHandshape,Hand,PalmBack,imrp,5,Circular,653,9,2,178,216,24,455,108,111,89,,B,2,1,1
church,church,3.267,1.741,-0.706901485,30,0.00%,3.611,1.577,-0.611090054,18,0.00%,0,,,1.769,2.025,-0.505,26,3.551,Noun,0,1,0,533.87,1201.2,667.33,2035.37,AsymmetricalDifferentHandshape,Hand,PalmBack,imrp,5,BackAndForth,742,29,2,178,216,24,455,108,354,89,,C,18,2,0
